Grid_ID,经纬度,City,POP_PE,POP_FL,EMP
939186,"113.695213,22.786541",东莞,1996,542,608
935957,"113.700101,22.777541",东莞,2218,3531,903
937572,"113.700101,22.782041",东莞,0,0,0
939187,"113.700101,22.786541",东莞,3738,1224,2451
940800,"113.690325,22.79104",东莞,1545,421,923
942415,"113.690325,22.79554",东莞,1502,600,799
940801,"113.695213,22.79104",东莞,4116,1110,1896
942416,"113.695213,22.79554",东莞,2504,876,1381
944030,"113.690325,22.80004",东莞,0,0,0
945645,"113.690325,22.804539",东莞,529,386,346
944031,"113.695213,22.80004",东莞,1293,690,1142
945646,"113.695213,22.804539",东莞,1040,357,1219
940802,"113.700101,22.79104",东莞,982,280,616
942417,"113.700101,22.79554",东莞,2373,1046,2165
944032,"113.700101,22.80004",东莞,4621,2583,2999
945647,"113.700101,22.804539",东莞,857,385,507
921436,"113.768537,22.737045",深圳,2112,1495,561
927883,"113.70499,22.755043",东莞,1600,1034,1061
927884,"113.709878,22.755043",东莞,933,506,1312
929498,"113.70499,22.759543",东莞,3667,1183,1257
931113,"113.70499,22.764042",东莞,706,296,606
929499,"113.709878,22.759543",东莞,0,0,0
931114,"113.709878,22.764042",东莞,3695,2011,1923
932728,"113.70499,22.768542",东莞,0,0,0
934343,"113.70499,22.773042",东莞,1651,1577,620
932729,"113.709878,22.768542",东莞,0,0,0
934344,"113.709878,22.773042",东莞,6795,2544,3963
932730,"113.714766,22.768542",东莞,0,0,0
934345,"113.714766,22.773042",东莞,904,1139,617
934346,"113.719654,22.773042",东莞,0,0,0
931118,"113.729431,22.764042",东莞,0,0,0
932732,"113.724542,22.768542",东莞,0,0,0
934347,"113.724542,22.773042",东莞,0,0,0
932733,"113.729431,22.768542",东莞,1057,7995,469
934348,"113.729431,22.773042",东莞,1308,767,545
931119,"113.734319,22.764042",东莞,1311,2617,1068
932734,"113.734319,22.768542",东莞,0,0,0
934349,"113.734319,22.773042",东莞,2130,2892,1768
935958,"113.70499,22.777541",东莞,1511,2558,676
935959,"113.709878,22.777541",东莞,77,16,91
937573,"113.70499,22.782041",东莞,0,0,0
939188,"113.70499,22.786541",东莞,2288,704,1467
